method, obj, restrictions,directeds,rejects,iter,changes, time
2,548.5,0,0,0,70,0,0.611960887909
3,548.5,0,0,0,70,0,0.628410100937
1,7435.0,0,0,0,71,0,0.222326993942
2,548.5,0,0,0,71,0,0.611442804337
3,548.5,0,0,0,71,0,0.615504026413
1,7435.0,0,0,0,72,0,0.234360218048
2,548.5,0,0,0,72,0,0.616930961609
3,548.5,0,0,0,72,0,0.635219097137
1,7435.0,0,0,0,73,0,0.223070859909
2,548.5,0,0,0,73,0,0.61240196228
3,548.5,0,0,0,73,0,0.613749027252
1,7435.0,0,0,0,74,0,0.236411094666
2,548.5,0,0,0,74,0,0.616261959076
3,548.5,0,0,0,74,0,0.628587961197
1,7435.0,0,0,0,75,0,0.222511053085
2,548.5,0,0,0,75,0,0.611229896545
3,548.5,0,0,0,75,0,0.629401922226
1,7435.0,0,0,0,76,0,0.223055839539
2,548.5,0,0,0,76,0,0.611907958984
3,548.5,0,0,0,76,0,0.638136863708
1,7435.0,0,0,0,77,0,0.223296165466
2,548.5,0,0,0,77,0,0.614506006241
3,548.5,0,0,0,77,0,0.617957115173
1,7435.0,0,0,0,78,0,0.239086866379
2,548.5,0,0,0,78,0,0.612121105194
3,548.5,0,0,0,78,0,0.628293037415
1,7435.0,0,0,0,79,0,0.221261978149
2,548.5,0,0,0,79,0,0.613248109818
3,548.5,0,0,0,79,0,0.634092092514
1,7435.0,0,0,0,80,0,0.222569942474
2,548.5,0,0,0,80,0,0.612874031067
3,548.5,0,0,0,80,0,0.614369153976
1,7435.0,0,0,0,81,0,0.239541053772
2,548.5,0,0,0,81,0,0.6134288311
3,548.5,0,0,0,81,0,0.630934000015
1,7435.0,0,0,0,82,0,0.223209142685
2,548.5,0,0,0,82,0,0.614421844482
3,548.5,0,0,0,82,0,0.630541086197
1,7435.0,0,0,0,83,0,0.222076892853
2,548.5,0,0,0,83,0,0.610623836517
3,548.5,0,0,0,83,0,0.614578008652
1,7435.0,0,0,0,84,0,0.234364032745
2,548.5,0,0,0,84,0,0.616784095764
3,548.5,0,0,0,84,0,0.632151842117
1,7435.0,0,0,0,85,0,0.223572969437
2,548.5,0,0,0,85,0,0.615092039108
3,548.5,0,0,0,85,0,0.618736028671
1,7435.0,0,0,0,86,0,0.236845970154
2,548.5,0,0,0,86,0,0.615828990936
3,548.5,0,0,0,86,0,0.626142978668
1,7435.0,0,0,0,87,0,0.223387002945
2,548.5,0,0,0,87,0,0.615443944931
3,548.5,0,0,0,87,0,0.628181934357
1,7435.0,0,0,0,88,0,0.224615097046
2,548.5,0,0,0,88,0,0.613441944122
3,548.5,0,0,0,88,0,0.632496118546
1,7435.0,0,0,0,89,0,0.223937034607
2,548.5,0,0,0,89,0,0.612979888916
3,548.5,0,0,0,89,0,0.615093231201
1,7435.0,0,0,0,90,0,0.241532802582
2,548.5,0,0,0,90,0,0.61238694191
3,548.5,0,0,0,90,0,0.62925195694
1,7435.0,0,0,0,91,0,0.221471786499
2,548.5,0,0,0,91,0,0.617045879364
3,548.5,0,0,0,91,0,0.635834932327
1,7435.0,0,0,0,92,0,0.223114013672
2,548.5,0,0,0,92,0,0.614319086075
3,548.5,0,0,0,92,0,0.618483066559
1,7435.0,0,0,0,93,0,0.238718986511
2,548.5,0,0,0,93,0,0.611269950867
3,548.5,0,0,0,93,0,0.633548021317
1,7435.0,0,0,0,94,0,0.223541975021
2,548.5,0,0,0,94,0,0.612990140915
3,548.5,0,0,0,94,0,0.632031917572
1,7435.0,0,0,0,95,0,0.223087072372
2,548.5,0,0,0,95,0,0.612828016281
3,548.5,0,0,0,95,0,0.617365837097
1,7435.0,0,0,0,96,0,0.250948905945
2,548.5,0,0,0,96,0,0.616457939148
3,548.5,0,0,0,96,0,0.635011911392
1,7435.0,0,0,0,97,0,0.222207069397
2,548.5,0,0,0,97,0,0.611528158188
3,548.5,0,0,0,97,0,0.618371009827
1,7435.0,0,0,0,98,0,0.237170934677
2,548.5,0,0,0,98,0,0.61419916153
3,548.5,0,0,0,98,0,0.629729986191
1,7435.0,0,0,0,99,0,0.224022865295
2,548.5,0,0,0,99,0,0.613348960876
3,548.5,0,0,0,99,0,0.629906892776
1,7435.0,0,0,0,100,0,0.22435092926
2,548.5,0,0,0,100,0,0.612657785416
3,548.5,0,0,0,100,0,0.633287906647
1,7435.0,0,0,0,101,0,0.224272012711
2,548.5,0,0,0,101,0,0.616096973419
3,548.5,0,0,0,101,0,0.619411945343
1,7435.0,0,0,0,102,0,0.239063978195
2,548.5,0,0,0,102,0,0.613286018372
3,548.5,0,0,0,102,0,0.6312251091
1,7435.0,0,0,0,103,0,0.222663164139
2,548.5,0,0,0,103,0,0.613687992096
3,548.5,0,0,0,103,0,0.635616064072
1,7435.0,0,0,0,104,0,0.225033998489
2,548.5,0,0,0,104,0,0.615370988846
3,548.5,0,0,0,104,0,0.619632005692
1,7435.0,0,0,0,105,0,0.239314079285
2,548.5,0,0,0,105,0,0.613601922989
3,548.5,0,0,0,105,0,0.630221128464
1,7435.0,0,0,0,106,0,0.222960948944
2,548.5,0,0,0,106,0,0.612189054489
3,548.5,0,0,0,106,0,0.629981040955
1,7435.0,0,0,0,107,0,0.222486972809
2,548.5,0,0,0,107,0,0.612483978271
3,548.5,0,0,0,107,0,0.614657878876
1,7435.0,0,0,0,108,0,0.234612941742
2,548.5,0,0,0,108,0,0.612080812454
3,548.5,0,0,0,108,0,0.632807016373
1,7435.0,0,0,0,109,0,0.224271059036
2,548.5,0,0,0,109,0,0.613191843033
3,548.5,0,0,0,109,0,0.616430044174
1,7435.0,0,0,0,110,0,0.236378908157
2,548.5,0,0,0,110,0,0.611968040466
3,548.5,0,0,0,110,0,0.631398200989
1,7435.0,0,0,0,111,0,0.22422003746
2,548.5,0,0,0,111,0,0.612890005112
3,548.5,0,0,0,111,0,0.627161979675
1,7435.0,0,0,0,112,0,0.223284006119
2,548.5,0,0,0,112,0,0.612205028534
3,548.5,0,0,0,112,0,0.633584022522
1,7435.0,0,0,0,113,0,0.224612951279
2,548.5,0,0,0,113,0,0.617442846298
3,548.5,0,0,0,113,0,0.618983983994
1,7435.0,0,0,0,114,0,0.239584922791
2,548.5,0,0,0,114,0,0.614911794662
3,548.5,0,0,0,114,0,0.630067110062
1,7435.0,0,0,0,115,0,0.222455978394
2,548.5,0,0,0,115,0,0.612550973892
3,548.5,0,0,0,115,0,0.635759830475
1,7435.0,0,0,0,116,0,0.222015857697
2,548.5,0,0,0,116,0,0.61182308197
3,548.5,0,0,0,116,0,0.617616176605
1,7435.0,0,0,0,117,0,0.240291118622
2,548.5,0,0,0,117,0,0.613318920135
3,548.5,0,0,0,117,0,0.631154060364
1,7435.0,0,0,0,118,0,0.22242307663
2,548.5,0,0,0,118,0,0.610318899155
3,548.5,0,0,0,118,0,0.629734992981
1,7435.0,0,0,0,119,0,0.221819877625
2,548.5,0,0,0,119,0,0.611699104309
3,548.5,0,0,0,119,0,0.612202882767
1,7435.0,0,0,0,120,0,0.235444068909
2,548.5,0,0,0,120,0,0.613893032074
3,548.5,0,0,0,120,0,0.631298065186
1,7435.0,0,0,0,121,0,0.222292900085
2,548.5,0,0,0,121,0,0.613480091095
3,548.5,0,0,0,121,0,0.613124847412
1,7435.0,0,0,0,122,0,0.236371040344
2,548.5,0,0,0,122,0,0.615732908249
3,548.5,0,0,0,122,0,0.634061098099
1,7435.0,0,0,0,123,0,0.222759008408
2,548.5,0,0,0,123,0,0.612128019333
3,548.5,0,0,0,123,0,0.625647068024
1,7435.0,0,0,0,124,0,0.222611904144
2,548.5,0,0,0,124,0,0.61149096489
3,548.5,0,0,0,124,0,0.635772943497
1,7435.0,0,0,0,125,0,0.223200082779
2,548.5,0,0,0,125,0,0.614579916
3,548.5,0,0,0,125,0,0.618384838104
1,7435.0,0,0,0,126,0,0.239479064941
2,548.5,0,0,0,126,0,0.61369395256
3,548.5,0,0,0,126,0,0.633769035339
1,7435.0,0,0,0,127,0,0.223113059998
2,548.5,0,0,0,127,0,0.614615917206
3,548.5,0,0,0,127,0,0.6369099617
1,7435.0,0,0,0,128,0,0.223844051361
2,548.5,0,0,0,128,0,0.615278959274
3,548.5,0,0,0,128,0,0.618577957153
1,7435.0,0,0,0,129,0,0.240220069885
2,548.5,0,0,0,129,0,0.6139960289
3,548.5,0,0,0,129,0,0.628727197647
1,7435.0,0,0,0,130,0,0.221966981888
2,548.5,0,0,0,130,0,0.612254142761
3,548.5,0,0,0,130,0,0.629878044128
1,7435.0,0,0,0,131,0,0.223021030426
2,548.5,0,0,0,131,0,0.618299007416
3,548.5,0,0,0,131,0,0.617211818695
1,7435.0,0,0,0,132,0,0.235939979553
2,548.5,0,0,0,132,0,0.616574048996
3,548.5,0,0,0,132,0,0.63095498085
1,7435.0,0,0,0,133,0,0.222738981247
2,548.5,0,0,0,133,0,0.613008022308
3,548.5,0,0,0,133,0,0.613583087921
1,7435.0,0,0,0,134,0,0.23622584343
2,548.5,0,0,0,134,0,0.614373922348
3,548.5,0,0,0,134,0,0.630458831787
1,7435.0,0,0,0,135,0,0.221815824509
2,548.5,0,0,0,135,0,0.612051963806
3,548.5,0,0,0,135,0,0.630815029144
1,7435.0,0,0,0,136,0,0.22213101387
2,548.5,0,0,0,136,0,0.611459970474
3,548.5,0,0,0,136,0,0.633679151535
1,7435.0,0,0,0,137,0,0.223752975464
2,548.5,0,0,0,137,0,0.614314079285
3,548.5,0,0,0,137,0,0.618999004364
1,7435.0,0,0,0,138,0,0.239108085632
2,548.5,0,0,0,138,0,0.612735033035
3,548.5,0,0,0,138,0,0.632824897766
1,7435.0,0,0,0,139,0,0.222607135773
2,548.5,0,0,0,139,0,0.615304946899
3,548.5,0,0,0,139,0,0.634131193161
1,7435.0,0,0,0,140,0,0.222655057907
2,548.5,0,0,0,140,0,0.615962028503
3,548.5,0,0,0,140,0,0.618522882462
1,7435.0,0,0,0,141,0,0.24024105072
2,548.5,0,0,0,141,0,0.611539125443
3,548.5,0,0,0,141,0,0.630191802979
1,7435.0,0,0,0,142,0,0.223047018051
2,548.5,0,0,0,142,0,0.612095832825
3,548.5,0,0,0,142,0,0.630766868591
1,7435.0,0,0,0,143,0,0.222838878632
2,548.5,0,0,0,143,0,0.61153793335
3,548.5,0,0,0,143,0,0.613510131836
1,7435.0,0,0,0,144,0,0.2349588871
2,548.5,0,0,0,144,0,0.615619897842
3,548.5,0,0,0,144,0,0.631902933121
1,7435.0,0,0,0,145,0,0.22298002243
2,548.5,0,0,0,145,0,0.614125967026
3,548.5,0,0,0,145,0,0.617407083511
1,7435.0,0,0,0,146,0,0.237061977386
2,548.5,0,0,0,146,0,0.613262891769
3,548.5,0,0,0,146,0,0.630945205688
1,7435.0,0,0,0,147,0,0.222318172455
2,548.5,0,0,0,147,0,0.615076065063
3,548.5,0,0,0,147,0,0.63171005249
1,7435.0,0,0,0,148,0,0.222538948059
2,548.5,0,0,0,148,0,0.614577054977
3,548.5,0,0,0,148,0,0.637701034546
1,7435.0,0,0,0,149,0,0.224029064178
2,548.5,0,0,0,149,0,0.615317106247
3,548.5,0,0,0,149,0,0.61612701416
1,7435.0,0,0,0,150,0,0.240141153336
2,548.5,0,0,0,150,0,0.616765022278
3,548.5,0,0,0,150,0,0.633195161819
1,7435.0,0,0,0,151,0,0.224521875381
2,548.5,0,0,0,151,0,0.614231109619
3,548.5,0,0,0,151,0,0.635619878769
1,7435.0,0,0,0,152,0,0.223281145096
2,548.5,0,0,0,152,0,0.616266965866
3,548.5,0,0,0,152,0,0.615236997604
1,7435.0,0,0,0,153,0,0.239272117615
2,548.5,0,0,0,153,0,0.613442897797
3,548.5,0,0,0,153,0,0.630365133286
1,7435.0,0,0,0,154,0,0.22390794754
2,548.5,0,0,0,154,0,0.61366891861
3,548.5,0,0,0,154,0,0.628236055374
1,7435.0,0,0,0,155,0,0.22238612175
2,548.5,0,0,0,155,0,0.610483884811
3,548.5,0,0,0,155,0,0.612561941147
1,7435.0,0,0,0,156,0,0.235841989517
2,548.5,0,0,0,156,0,0.616060018539
3,548.5,0,0,0,156,0,0.630745887756
1,7435.0,0,0,0,157,0,0.223634004593
2,548.5,0,0,0,157,0,0.614670991898
3,548.5,0,0,0,157,0,0.616694927216
1,7435.0,0,0,0,158,0,0.236096858978
2,548.5,0,0,0,158,0,0.613924026489
3,548.5,0,0,0,158,0,0.629503965378
1,7435.0,0,0,0,159,0,0.223938941956
2,548.5,0,0,0,159,0,0.61413192749
3,548.5,0,0,0,159,0,0.632547855377
1,7435.0,0,0,0,160,0,0.223416090012
2,548.5,0,0,0,160,0,0.615853071213
3,548.5,0,0,0,160,0,0.637756109238
1,7435.0,0,0,0,161,0,0.224910974503
2,548.5,0,0,0,161,0,0.616564035416
3,548.5,0,0,0,161,0,0.619504928589
1,7435.0,0,0,0,162,0,0.240056991577
2,548.5,0,0,0,162,0,0.613749027252
3,548.5,0,0,0,162,0,0.632292985916
1,7435.0,0,0,0,163,0,0.222336053848
2,548.5,0,0,0,163,0,0.614342212677
3,548.5,0,0,0,163,0,0.632380962372
1,7435.0,0,0,0,164,0,0.223343849182
2,548.5,0,0,0,164,0,0.613847970963
3,548.5,0,0,0,164,0,0.613568067551
1,7435.0,0,0,0,165,0,0.238395929337
2,548.5,0,0,0,165,0,0.614178180695
3,548.5,0,0,0,165,0,0.631317853928
1,7435.0,0,0,0,166,0,0.222336053848
2,548.5,0,0,0,166,0,0.614440917969
3,548.5,0,0,0,166,0,0.629440069199
1,7435.0,0,0,0,167,0,0.222641944885
2,548.5,0,0,0,167,0,0.616604089737
3,548.5,0,0,0,167,0,0.615616083145
1,7435.0,0,0,0,168,0,0.235002040863
2,548.5,0,0,0,168,0,0.613593816757
3,548.5,0,0,0,168,0,0.633020162582
1,7435.0,0,0,0,169,0,0.223551988602
2,548.5,0,0,0,169,0,0.615713834763
3,548.5,0,0,0,169,0,0.61639714241
1,7435.0,0,0,0,170,0,0.23517203331
2,548.5,0,0,0,170,0,0.615472078323
3,548.5,0,0,0,170,0,0.62965297699
1,7435.0,0,0,0,171,0,0.223184108734
2,548.5,0,0,0,171,0,0.612322092056
3,548.5,0,0,0,171,0,0.629570007324
1,7435.0,0,0,0,172,0,0.223412036896
2,548.5,0,0,0,172,0,0.61079120636
3,548.5,0,0,0,172,0,0.633532762527
1,7435.0,0,0,0,173,0,0.223224878311
2,548.5,0,0,0,173,0,0.615854978561
3,548.5,0,0,0,173,0,0.618776082993
1,7435.0,0,0,0,174,0,0.240318775177
2,548.5,0,0,0,174,0,0.611711978912
3,548.5,0,0,0,174,0,0.630107879639
1,7435.0,0,0,0,175,0,0.223601818085
2,548.5,0,0,0,175,0,0.615592956543
3,548.5,0,0,0,175,0,0.633666038513
1,7435.0,0,0,0,176,0,0.223096847534
2,548.5,0,0,0,176,0,0.617393016815
3,548.5,0,0,0,176,0,0.619369029999
1,7435.0,0,0,0,177,0,0.239078998566
2,548.5,0,0,0,177,0,0.611410856247
3,548.5,0,0,0,177,0,0.632127046585
1,7435.0,0,0,0,178,0,0.24195599556
2,548.5,0,0,0,178,0,0.61316204071
3,548.5,0,0,0,178,0,0.630476951599
1,7435.0,0,0,0,179,0,0.223073959351
2,548.5,0,0,0,179,0,0.612848043442
3,548.5,0,0,0,179,0,0.615438938141
1,7435.0,0,0,0,180,0,0.236748933792
2,548.5,0,0,0,180,0,0.615844011307
3,548.5,0,0,0,180,0,0.631250858307
1,7435.0,0,0,0,181,0,0.223028898239
2,548.5,0,0,0,181,0,0.615599155426
3,548.5,0,0,0,181,0,0.616665124893
1,7435.0,0,0,0,182,0,0.236809015274
2,548.5,0,0,0,182,0,0.615332126617
3,548.5,0,0,0,182,0,0.627639055252
1,7435.0,0,0,0,183,0,0.223233938217
2,548.5,0,0,0,183,0,0.61071896553
3,548.5,0,0,0,183,0,0.629623174667
1,7435.0,0,0,0,184,0,0.222151994705
2,548.5,0,0,0,184,0,0.611001968384
3,548.5,0,0,0,184,0,0.632798910141
1,7435.0,0,0,0,185,0,0.224224090576
2,548.5,0,0,0,185,0,0.613463878632
3,548.5,0,0,0,185,0,0.617618083954
1,7435.0,0,0,0,186,0,0.239392995834
2,548.5,0,0,0,186,0,0.613857030869
3,548.5,0,0,0,186,0,0.630663871765
1,7435.0,0,0,0,187,0,0.22154712677
2,548.5,0,0,0,187,0,0.615850925446
3,548.5,0,0,0,187,0,0.637993812561
1,7435.0,0,0,0,188,0,0.223288059235
2,548.5,0,0,0,188,0,0.615601062775
3,548.5,0,0,0,188,0,0.618527173996
1,7435.0,0,0,0,189,0,0.238646030426
2,548.5,0,0,0,189,0,0.613820075989
3,548.5,0,0,0,189,0,0.630305051804
1,7435.0,0,0,0,190,0,0.222459793091
2,548.5,0,0,0,190,0,0.615215063095
3,548.5,0,0,0,190,0,0.630821943283
1,7435.0,0,0,0,191,0,0.222393035889
2,548.5,0,0,0,191,0,0.611517906189
3,548.5,0,0,0,191,0,0.615092039108
1,7435.0,0,0,0,192,0,0.235418796539
2,548.5,0,0,0,192,0,0.613718986511
3,548.5,0,0,0,192,0,0.632216930389
1,7435.0,0,0,0,193,0,0.222349882126
2,548.5,0,0,0,193,0,0.611939907074
3,548.5,0,0,0,193,0,0.61251115799
1,7435.0,0,0,0,194,0,0.235690832138
2,548.5,0,0,0,194,0,0.613165855408
3,548.5,0,0,0,194,0,0.672367095947
1,7435.0,0,0,0,195,0,0.223753213882
