method, obj, restrictions,directeds,rejects,iter,changes, time
2,0.0,0,3,0,6,-1,0.0960569381714
3,0.0,0,3,0,6,-1,0.102547883987
1,2200.0,0,3,0,7,145,0.285218954086
2,0.0,0,3,0,7,-1,0.10489487648
3,1705.0,0,3,0,7,82,0.693362951279
1,2220.5,0,3,0,8,146,0.262403011322
2,1763.0,0,3,0,8,80,0.607430934906
3,0.0,0,3,0,8,-1,0.0826420783997
1,2175.5,0,3,0,9,146,0.238557100296
2,0.0,0,3,0,9,-1,0.0871939659119
3,2746.5,0,3,0,9,94,0.626070976257
1,2141.5,0,3,1,0,146,0.231678009033
2,0.0,0,3,1,0,-1,0.0876181125641
3,1760.0,0,3,1,0,84,0.60549902916
1,2100.5,0,3,1,1,147,0.244292974472
2,0.0,0,3,1,1,-1,0.0897200107574
3,0.0,0,3,1,1,-1,0.0914239883423
1,2207.5,0,3,1,2,147,0.225359916687
2,1764.0,0,3,1,2,86,0.628528118134
3,0.0,0,3,1,2,-1,0.0882589817047
1,2131.0,0,3,1,3,145,0.24448800087
2,0.0,0,3,1,3,-1,0.0814681053162
3,0.0,0,3,1,3,-1,0.0842590332031
1,2202.5,0,3,1,4,147,0.224534034729
2,0.0,0,3,1,4,-1,0.0933201313019
3,788.0,0,3,1,4,87,0.605396032333
1,2208.0,0,3,1,5,146,0.244157075882
2,765.0,0,3,1,5,82,0.593683004379
3,0.0,0,3,1,5,-1,0.0851650238037
1,2144.0,0,3,1,6,146,0.242043972015
2,865.0,0,3,1,6,84,0.600770950317
3,0.0,0,3,1,6,-1,0.0805130004883
1,2200.5,0,3,1,7,146,0.238090991974
2,1742.0,0,3,1,7,83,0.605390071869
3,0.0,0,3,1,7,-1,0.0910730361938
1,2280.0,0,3,1,8,147,0.237900018692
2,0.0,0,3,1,8,-1,0.0844597816467
3,0.0,0,3,1,8,-1,0.088278055191
1,2186.0,0,3,1,9,147,0.239435195923
2,786.0,0,3,1,9,77,0.610026836395
3,737.0,0,3,1,9,86,0.618920087814
1,2295.5,0,3,2,0,147,0.223560094833
2,1775.0,0,3,2,0,85,0.593496084213
3,0.0,0,3,2,0,-1,0.0861179828644
1,2192.0,0,3,2,1,147,0.238963127136
2,1747.5,0,3,2,1,77,0.591105937958
3,0.0,0,3,2,1,-1,0.0863599777222
1,2182.0,0,3,2,2,147,0.23814201355
2,0.0,0,3,2,2,-1,0.0876581668854
3,0.0,0,3,2,2,-1,0.0843930244446
1,2142.0,0,3,2,3,147,0.240190982819
2,0.0,0,3,2,3,-1,0.0828580856323
3,0.0,0,3,2,3,-1,0.0868198871613
1,2231.0,0,3,2,4,147,0.244859933853
2,0.0,0,3,2,4,-1,0.086874961853
3,2698.0,0,3,2,4,86,0.614580154419
1,2175.0,0,3,2,5,145,0.240900039673
2,1726.0,0,3,2,5,81,0.600569963455
3,1716.0,0,3,2,5,81,0.629395961761
1,2194.0,0,3,2,6,146,0.223500967026
2,1772.0,0,3,2,6,84,0.675681114197
3,874.0,0,3,2,6,84,0.620611906052
1,2214.5,0,3,2,7,145,0.225016832352
2,0.0,0,3,2,7,-1,0.0855329036713
3,1797.0,0,3,2,7,86,0.603051900864
1,2143.0,0,3,2,8,148,0.244784116745
2,0.0,0,3,2,8,-1,0.0818610191345
3,0.0,0,3,2,8,-1,0.0832431316376
1,2138.5,0,3,2,9,145,0.2233979702
2,0.0,0,3,2,9,-1,0.0936889648438
3,2719.5,0,3,2,9,84,0.59881901741
1,2229.0,0,3,3,0,146,0.243364810944
2,0.0,0,3,3,0,-1,0.0842339992523
3,760.0,0,3,3,0,77,0.598927021027
1,2164.0,0,3,3,1,145,0.241385936737
2,0.0,0,3,3,1,-1,0.0844180583954
3,2715.0,0,3,3,1,88,0.611611127853
1,2224.0,0,3,3,2,147,0.237684965134
2,0.0,0,3,3,2,-1,0.0828928947449
3,1829.5,0,3,3,2,85,0.622582912445
1,2155.5,0,3,3,3,145,0.224838018417
2,0.0,0,3,3,3,-1,0.0819039344788
3,0.0,0,3,3,3,-1,0.0867459774017
1,2159.5,0,3,3,4,147,0.223591089249
2,0.0,0,3,3,4,-1,0.103090047836
3,1738.0,0,3,3,4,95,0.613010883331
1,2229.0,0,3,3,5,147,0.224996089935
2,0.0,0,3,3,5,-1,0.0974400043488
3,0.0,0,3,3,5,-1,0.0839178562164
1,2151.5,0,3,3,6,148,0.222898960114
2,0.0,0,3,3,6,-1,0.0966820716858
3,0.0,0,3,3,6,-1,0.0863780975342
1,2141.0,0,3,3,7,147,0.225016117096
2,0.0,0,3,3,7,-1,0.0915880203247
3,0.0,0,3,3,7,-1,0.0968458652496
1,2241.0,0,3,3,8,147,0.225471019745
2,1788.0,0,3,3,8,85,0.627580165863
3,0.0,0,3,3,8,-1,0.0882470607758
1,2146.5,0,3,3,9,147,0.224162101746
2,0.0,0,3,3,9,-1,0.0889120101929
3,0.0,0,3,3,9,-1,0.0968430042267
1,2162.0,0,3,4,0,148,0.223572015762
2,0.0,0,3,4,0,-1,0.0823028087616
3,0.0,0,3,4,0,-1,0.0812759399414
1,2135.5,0,3,4,1,146,0.222626924515
2,0.0,0,3,4,1,-1,0.101518154144
3,0.0,0,3,4,1,-1,0.0855040550232
1,2230.5,0,3,4,2,148,0.222852945328
2,870.0,0,3,4,2,86,0.616422176361
3,0.0,0,3,4,2,-1,0.0860648155212
1,2145.5,0,3,4,3,148,0.224142789841
2,0.0,0,3,4,3,-1,0.0933310985565
3,0.0,0,3,4,3,-1,0.0886430740356
1,2226.0,0,3,4,4,146,0.225383043289
